query_id,query_type,delta_p5,delta_r10,delta_ndcg,delta_mrr,improved,degraded,all_metrics_improved
Q-01,SINGLE_HOP,-0.6,-1.5,-1.3065735963827294,-1.0,False,True,False
Q-02,SINGLE_HOP,-0.2,-0.5,-0.6131471927654584,-1.0,False,True,False
Q-03,SINGLE_HOP,-0.2,-0.5,-0.6131471927654584,-1.0,False,True,False
Q-04,SINGLE_HOP,-0.6,-1.3333333333333333,-1.1356519734324475,-1.0,False,True,False
Q-05,SINGLE_HOP,-0.2,-0.5,-0.6131471927654584,-1.0,False,True,False
Q-06,SINGLE_HOP,-0.2,-0.5,-0.3065735963827292,-0.3333333333333333,False,True,False
Q-07,SINGLE_HOP,-0.2,-0.5,-0.6131471927654584,-1.0,False,True,False
Q-27,SINGLE_HOP,-0.4,-1.0,-1.0,-1.0,False,True,False
Q-28,SINGLE_HOP,0.0,0.0,0.0,0.0,False,False,True
Q-30,SINGLE_HOP,-0.2,-0.5,-0.6131471927654584,-1.0,False,True,False
Q-34,SINGLE_HOP,-0.2,-0.5,-0.6131471927654584,-1.0,False,True,False
Q-08,MULTI_HOP,-0.6,-1.0,-0.9674679834891692,-1.0,False,True,False
Q-09,MULTI_HOP,-0.6,-1.0,-1.0,-1.0,False,True,False
Q-10,MULTI_HOP,-0.4,-0.6666666666666666,-0.7653606369886217,-1.0,False,True,False
Q-11,MULTI_HOP,-0.4,-1.0,-0.932521091954824,-1.0,False,True,False
Q-12,MULTI_HOP,-0.8,-1.3333333333333333,-1.2021073465005474,-1.0,False,True,False
Q-29,MULTI_HOP,-1.0,-1.6666666666666667,-1.3836491390379002,-1.0,False,True,False
Q-31,MULTI_HOP,-0.8,-1.3333333333333333,-1.2021073465005474,-1.0,False,True,False
Q-35,MULTI_HOP,-0.4,-0.6666666666666666,-0.7039180890341347,-1.0,False,True,False
Q-13,AUTHORITY,0.0,0.0,0.0,0.0,False,False,True
Q-14,AUTHORITY,-0.6,-1.5,-1.1837889117207785,-1.0,False,True,False
Q-15,AUTHORITY,-0.4,-1.0,-1.0,-1.0,False,True,False
Q-16,AUTHORITY,-0.6,-1.0,-1.0,-1.0,False,True,False
Q-17,AUTHORITY,-0.2,-0.5,-0.6131471927654584,-1.0,False,True,False
Q-18,TEMPORAL,-0.4,-1.0,-0.8772153153380493,-1.0,False,True,False
Q-19,TEMPORAL,-0.4,-1.0,-1.0,-1.0,False,True,False
Q-20,TEMPORAL,-0.4,-1.5,-1.0687523423529188,-1.0,False,True,False
Q-21,TEMPORAL,-0.6,-2.0,-1.455605149587461,-1.0,False,True,False
Q-22,TEMPORAL,-0.6,-1.5,-1.3065735963827294,-1.0,False,True,False
Q-23,TEMPORAL,-0.6,-1.5,-0.8078394317246163,-0.3333333333333333,False,True,False
Q-24,EXPLORATORY,0.0,0.0,0.0,0.0,False,False,True
Q-25,EXPLORATORY,-0.6,-0.75,-0.8318724637288826,-1.0,False,True,False
Q-26,EXPLORATORY,-0.4,-1.0,-0.5518331289811786,-0.3333333333333333,False,True,False
Q-32,EXPLORATORY,-0.4,-0.75,-0.6713527276121545,-1.0,False,True,False
Q-33,EXPLORATORY,-0.2,-0.6666666666666666,-0.6364391809889587,-1.0,False,True,False
Q-36,EXPLORATORY,-0.6,-1.3333333333333333,-1.020088320026859,-1.0,False,True,False
